"stateHeads__name","stateHeads__country","stateHeads__office","stateHeads__mandate_start","stateHeads__mandate_end","stateHeads__term_length","stateHeads__head_of_state_or_gov","stateHeads__description","stateHeads__img","errorHeads"
"Khertek Anchimaa-Toka","Tannu Tuva","Chairperson of the Presidium of the Little Khural","6 April 1940","11 October 1944","4 years, 188 days","Head of state","Khertek Amyrbitovna Anchimaa-Toka (Russian: Хертек Амырбитовна Анчимаа-Тока, Tuvan: Анчимаа-Тока Хертек Амырбит уруу, romanized: Anchimaa-Toka Khertek Amyrbit uruu; 1 January 1912 – 4 November 2008) was a Tuvan/Soviet politician who in 1940–44 was the Chairwoman of Little Khural of the Tuvan People's Republic, and the first non-hereditary female head of state. She was the wife of Salchak Toka, who was the republic's supreme leader from 1932 to 1973.","//upload.wikimedia.org/wikipedia/en/thumb/f/fe/Khertek_Anchimaa-Toka.jpg/220px-Khertek_Anchimaa-Toka.jpg",""
"Sükhbaataryn Yanjmaa","Mongolia","Acting Chairperson of the Presidium of the State Great Khural","7 September 1953","7 July 1954","303 days","Head of state","Sükhbaataryn Yanjmaa (Mongolian: Сүхбаатарын Янжмаа born Nemendeyen Yanjmaa, Mongolian: Нэмэндэен Янжмаа; 15 February 1893 – 1 May 1962) was a Mongolian politician. As Chairwoman of the Presidium of the State Great Khural, she became only the second woman in history to be a non-hereditary head of state after Khertek Anchimaa-Toka of Tannu Tuva, and the first in a sovereign country. She was the widow of Mongolian revolutionary leader Damdin Sükhbaatar.","//upload.wikimedia.org/wikipedia/commons/d/d8/S%C3%BCkhbaataryn_Yanjmaa.jpg",""
"Sirimavo Bandaranaike","Ceylon","Prime Minister","21 July 1960","27 March 1965","4 years, 249 days","Head of government","Sirima Ratwatte Dias Bandaranaike (Sinhala: සිරිමා රත්වත්තේ ඩයස් බණ්ඩාරනායක, Tamil: சிறிமா ரத்வத்தே டயஸ் பண்டாரநாயக்கே; 17 April 1916 – 10 October 2000), commonly known as Sirimavo Bandaranaike,[note 1] was a Sri Lankan stateswoman. She became the world's first non-hereditary female head of government in modern history, when she was elected Prime Minister of Sri Lanka in 1960. She served three terms: 1960–1965, 1970–1977 and 1994–2000.","//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG/220px-Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG",""
"Indira Gandhi","India","Prime Minister","24 January 1966","24 April 1977","11 years, 90 days","Head of government","Indira Priyadarshini Gandhi (Hindi: [ˈɪndɪraː ˈɡaːndʱiː] (listen); née Nehru; 19 November 1917 – 31 October 1984) was an Indian politician and a central figure of the Indian National Congress. She was the first and, to date, the only female Prime Minister of India. Indira Gandhi was the daughter of Jawaharlal Nehru, the first prime minister of India. She served as Prime Minister from January 1966 to March 1977 and again from January 1980 until her assassination in October 1984, making her the second longest-serving Indian Prime Minister, after her father.","//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Indira-Gandhi-ili-50-img-2.jpg/220px-Indira-Gandhi-ili-50-img-2.jpg",""
"Soong Ching-ling","China","Acting Co-Chairperson","31 October 1968","24 April 1972","3 years, 176 days","Head of state","Rosamond Soong Ching-ling (27 January 1893 – 29 May 1981) was a Chinese political figure. As the third wife of Sun Yat-sen, one of the leaders of the 1911 revolution that established the Republic of China, she was often referred to as Madame Sun Yat-sen. She was a member of the Soong family and, together with her siblings, played a prominent role in China's politics prior to and after 1949.","//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Soong_Ching-ling_%28Chinese_characters%29.svg/140px-Soong_Ching-ling_%28Chinese_characters%29.svg.png",""
"Golda Meir","Israel","Prime Minister","17 March 1969","3 June 1974","5 years, 78 days","Head of government","Golda Meir[nb 1] (born Golda Mabovitch; May 3, 1898 – December 8, 1978) was an Israeli teacher, kibbutznik, stateswoman, politician and the fourth Prime Minister of Israel.","//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Golda_Meir_03265u.jpg/220px-Golda_Meir_03265u.jpg",""
"Sirimavo Bandaranaike","Ceylon/ Sri Lanka","Prime Minister","29 May 1970","23 July 1977","7 years, 55 days","Head of government","Sirima Ratwatte Dias Bandaranaike (Sinhala: සිරිමා රත්වත්තේ ඩයස් බණ්ඩාරනායක, Tamil: சிறிமா ரத்வத்தே டயஸ் பண்டாரநாயக்கே; 17 April 1916 – 10 October 2000), commonly known as Sirimavo Bandaranaike,[note 1] was a Sri Lankan stateswoman. She became the world's first non-hereditary female head of government in modern history, when she was elected Prime Minister of Sri Lanka in 1960. She served three terms: 1960–1965, 1970–1977 and 1994–2000.","//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG/220px-Sirimavo_Bandaranaike%2C_Prime_Minister_of_Ceylon_1960.PNG",""
"Isabel Martínez de Perón","Argentina","President","1 July 1974","24 March 1976","1 year, 267 days","Head of state and government","María Estela Martínez Cartas de Perón (born 4 February 1931), better known as Isabel Martínez de Perón (Spanish pronunciation: [isaˈβel maɾˈtines]) or Isabel Perón, served as the 42nd President of Argentina from 1974 to 1976. She was the third wife of President Juan Perón. During her husband's third term as president from 1973 to 1974, Isabel served as both vice president and First Lady. Following her husband's death in office in 1974, Isabel served as president of Argentina from 1 July 1974 to 24 March 1976, at which time the military took over the government and placed her under house arrest for five years, before exiling her to Spain in 1981. She holds the distinction of having been the first woman to have had the title of ""President"", as opposed to a queen or prime minister.","//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Isabel_Martinez_de_Peron.jpg/220px-Isabel_Martinez_de_Peron.jpg",""
"Elisabeth Domitien","Central African Republic","Prime Minister","2 January 1975","7 April 1976","1 year, 96 days","*","Elisabeth Domitien (1925 – 26 April 2005) served as the prime minister of the Central African Republic from 1975 to 1976. She was the first and to date[update] only woman to hold the position.","no image on wikipedia :(",""
"Margaret Thatcher","United Kingdom","Prime Minister","4 May 1979","28 November 1990","11 years, 208 days","Head of government","Margaret Hilda Thatcher, Baroness Thatcher, LG, OM, DStJ, PC, FRS, HonFRSC (née Roberts; 13 October 1925 – 8 April 2013) was a British stateswoman who served as Prime Minister of the United Kingdom from 1979 to 1990 and leader of the Conservative Party from 1975 to 1990. She was the longest-serving British prime minister of the 20th century and the first woman to hold that office. A Soviet journalist dubbed her ""The Iron Lady"", a nickname that became associated with her uncompromising politics and leadership style. As Prime Minister, she implemented policies known as Thatcherism.","//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Margaret_Thatcher_stock_portrait_%28cropped%29.jpg/220px-Margaret_Thatcher_stock_portrait_%28cropped%29.jpg",""
